2026-04-30 19:31:40,470 - Suspicious traffic detected! | pps: 76.00 | avg_size: 733.47 | tcp_ratio: 0.97 | udp_ratio: 0.03
2026-04-30 19:31:42,653 - Suspicious traffic detected! | pps: 142.00 | avg_size: 508.68 | tcp_ratio: 0.96 | udp_ratio: 0.04
2026-04-30 19:31:44,819 - Suspicious traffic detected! | pps: 62.00 | avg_size: 131.60 | tcp_ratio: 0.97 | udp_ratio: 0.03
2026-04-30 19:31:52,116 - Suspicious traffic detected! | pps: 111.00 | avg_size: 147.20 | tcp_ratio: 0.91 | udp_ratio: 0.09
2026-04-30 19:31:54,125 - Suspicious traffic detected! | pps: 591.00 | avg_size: 647.33 | tcp_ratio: 0.92 | udp_ratio: 0.08
2026-04-30 19:32:06,354 - Suspicious traffic detected! | pps: 56.00 | avg_size: 685.20 | tcp_ratio: 0.96 | udp_ratio: 0.04
2026-04-30 19:33:04,163 - Suspicious traffic detected! | pps: 117.00 | avg_size: 766.22 | tcp_ratio: 0.97 | udp_ratio: 0.03
2026-04-30 19:47:52,443 - Suspicious traffic detected! | pps: 68.00 | avg_size: 825.87 | tcp_ratio: 0.91 | udp_ratio: 0.07
2026-04-30 19:47:54,212 - Suspicious traffic detected! | pps: 1.00 | avg_size: 54.00 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:47:55,263 - Suspicious traffic detected! | pps: 268.00 | avg_size: 119.35 | tcp_ratio: 0.90 | udp_ratio: 0.10
2026-04-30 19:48:35,327 - Suspicious traffic detected! | pps: 235.00 | avg_size: 2068.52 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:52:59,026 - Suspicious traffic detected! | pps: 118.00 | avg_size: 1158.80 | tcp_ratio: 0.93 | udp_ratio: 0.07
2026-04-30 19:53:06,868 - Suspicious traffic detected! | pps: 163.00 | avg_size: 642.99 | tcp_ratio: 0.95 | udp_ratio: 0.05
2026-04-30 19:53:18,666 - Suspicious traffic detected! | pps: 31.00 | avg_size: 1056.97 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:53:27,977 - Suspicious traffic detected! | pps: 16.00 | avg_size: 1628.50 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:53:31,189 - Suspicious traffic detected! | pps: 277.00 | avg_size: 654.29 | tcp_ratio: 0.99 | udp_ratio: 0.01
2026-04-30 19:53:32,192 - Suspicious traffic detected! | pps: 237.00 | avg_size: 711.86 | tcp_ratio: 0.98 | udp_ratio: 0.02
2026-04-30 19:53:33,236 - Suspicious traffic detected! | pps: 201.00 | avg_size: 596.85 | tcp_ratio: 0.95 | udp_ratio: 0.05
2026-04-30 19:53:34,538 - Suspicious traffic detected! | pps: 270.00 | avg_size: 762.93 | tcp_ratio: 0.99 | udp_ratio: 0.01
2026-04-30 19:53:36,655 - Suspicious traffic detected! | pps: 48.00 | avg_size: 876.17 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:53:37,661 - Suspicious traffic detected! | pps: 65.00 | avg_size: 1029.97 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:54:00,541 - Suspicious traffic detected! | pps: 48.00 | avg_size: 750.62 | tcp_ratio: 0.96 | udp_ratio: 0.04
2026-04-30 19:54:01,548 - Suspicious traffic detected! | pps: 48.00 | avg_size: 793.60 | tcp_ratio: 0.96 | udp_ratio: 0.04
2026-04-30 19:54:12,894 - Suspicious traffic detected! | pps: 73.00 | avg_size: 211.18 | tcp_ratio: 0.97 | udp_ratio: 0.03
2026-04-30 19:56:56,442 - Suspicious traffic detected! | pps: 112.00 | avg_size: 731.31 | tcp_ratio: 0.97 | udp_ratio: 0.03
2026-04-30 19:57:00,166 - Suspicious traffic detected! | pps: 56.00 | avg_size: 663.12 | tcp_ratio: 0.96 | udp_ratio: 0.04
2026-04-30 19:58:09,389 - Suspicious traffic detected! | pps: 98.00 | avg_size: 805.98 | tcp_ratio: 0.96 | udp_ratio: 0.04
2026-04-30 19:58:26,149 - Suspicious traffic detected! | pps: 51.00 | avg_size: 68.10 | tcp_ratio: 0.94 | udp_ratio: 0.06
2026-04-30 19:58:28,550 - Suspicious traffic detected! | pps: 59.00 | avg_size: 96.81 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:59:02,866 - Suspicious traffic detected! | pps: 92.00 | avg_size: 884.02 | tcp_ratio: 0.96 | udp_ratio: 0.04
2026-04-30 19:59:04,911 - Suspicious traffic detected! | pps: 1535.00 | avg_size: 1028.24 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:59:05,982 - Suspicious traffic detected! | pps: 1468.00 | avg_size: 948.03 | tcp_ratio: 0.99 | udp_ratio: 0.01
2026-04-30 19:59:39,868 - Suspicious traffic detected! | pps: 23.00 | avg_size: 1392.22 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:59:54,661 - Suspicious traffic detected! | pps: 1.00 | avg_size: 54.00 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 19:59:56,194 - Suspicious traffic detected! | pps: 150.00 | avg_size: 573.79 | tcp_ratio: 0.95 | udp_ratio: 0.05
2026-04-30 20:00:17,376 - Suspicious traffic detected! | pps: 1.00 | avg_size: 54.00 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 20:00:20,104 - Suspicious traffic detected! | pps: 54.00 | avg_size: 1293.41 | tcp_ratio: 0.94 | udp_ratio: 0.06
2026-04-30 20:00:27,890 - Suspicious traffic detected! | pps: 96.00 | avg_size: 1125.67 | tcp_ratio: 0.92 | udp_ratio: 0.08
2026-04-30 20:00:31,544 - Suspicious traffic detected! | pps: 42.00 | avg_size: 1947.98 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 20:00:37,943 - Suspicious traffic detected! | pps: 124.00 | avg_size: 1378.58 | tcp_ratio: 0.99 | udp_ratio: 0.01
2026-04-30 20:00:42,892 - Suspicious traffic detected! | pps: 50.00 | avg_size: 1817.42 | tcp_ratio: 0.92 | udp_ratio: 0.08
2026-04-30 20:05:54,660 - Suspicious traffic detected! | pps: 1.00 | avg_size: 54.00 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 20:06:05,922 - Suspicious traffic detected! | pps: 1.00 | avg_size: 1354.00 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:17:41,283 - Suspicious traffic detected! | pps: 165.00 | avg_size: 617.48 | tcp_ratio: 0.98 | udp_ratio: 0.02
2026-04-30 21:17:44,585 - Suspicious traffic detected! | pps: 150.00 | avg_size: 680.97 | tcp_ratio: 0.97 | udp_ratio: 0.03
2026-04-30 21:17:49,601 - Suspicious traffic detected! | pps: 35.00 | avg_size: 1303.43 | tcp_ratio: 0.97 | udp_ratio: 0.03
2026-04-30 21:18:24,204 - Suspicious traffic detected! | pps: 74.00 | avg_size: 997.07 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:18:48,688 - Suspicious traffic detected! | pps: 1.00 | avg_size: 54.00 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:20:14,501 - Suspicious traffic detected! | pps: 26.00 | avg_size: 1337.15 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:20:17,918 - Suspicious traffic detected! | pps: 24.00 | avg_size: 1217.08 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:20:37,286 - Suspicious traffic detected! | pps: 129.00 | avg_size: 784.45 | tcp_ratio: 0.91 | udp_ratio: 0.09
2026-04-30 21:20:53,027 - Suspicious traffic detected! | pps: 712.00 | avg_size: 1042.17 | tcp_ratio: 0.93 | udp_ratio: 0.07
